season_end,Player,Age,Tm,GP,W,L,W_PCT,MP,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,PER,WS,OWS,DWS,WS/48,BPM,VORP,PLAYER_ID,TEAM_ID
2018,Bobby Portis,23.0,CHI,73,25,48,0.342,1642.52,382,811,80,223,120,156,159,339,498,123,50,23,103,964,0.548,0.2749691738594328,0.19235511713933415,0.089,0.207,0.145,0.126,,0.25,,,,,,,,1626171,1610612741
2018,Bogdan Bogdanović,25.0,SAC,78,26,52,0.333,2175.155,344,772,129,329,100,119,31,192,223,258,72,16,125,917,0.556,0.4261658031088083,0.15414507772020725,0.014,0.094,0.053,0.183,,0.192,,,,,,,,203992,1610612758
2018,Bojan Bogdanovic,29.0,IND,80,47,33,0.588,2464.4616666666666,404,852,155,386,178,205,30,240,270,119,55,8,106,1141,0.605,0.45305164319248825,0.24061032863849766,0.012,0.097,0.055,0.071,,0.185,,,,,,,,202711,1610612754
2018,Bradley Beal,25.0,WAS,82,43,39,0.524,2976.701666666667,683,1484,199,530,292,369,61,302,363,373,96,36,214,1857,0.564,0.35714285714285715,0.2486522911051213,0.021,0.101,0.062,0.206,,0.268,,,,,,,,203078,1610612764
2018,Brandan Wright,30.0,HOU,28,11,17,0.393,380.875,59,102,0,0,21,33,33,62,95,13,13,26,8,139,0.596,0.0,0.3235294117647059,0.086,0.161,0.124,0.056,,0.14,,,,,,,,201148,1610612745
2018,Brandon Ingram,20.0,LAL,59,27,32,0.458,1974.5616666666667,358,761,41,105,192,282,57,257,314,230,45,43,149,949,0.536,0.13797634691195795,0.37056504599211565,0.027,0.121,0.074,0.177,,0.218,,,,,,,,1627742,1610612747
2018,Brandon Jennings,28.0,MIL,14,8,6,0.571,205.14333333333335,27,72,9,33,10,10,5,26,31,44,6,4,18,73,0.478,0.4583333333333333,0.1388888888888889,0.022,0.131,0.073,0.331,,0.191,,,,,,,,201943,1610612749
2018,Brandon Paul,27.0,SAS,64,38,26,0.594,575.84,55,127,15,54,22,43,6,62,68,37,25,7,29,147,0.504,0.4251968503937008,0.33858267716535434,0.011,0.109,0.06,0.096,,0.131,,,,,,,,203464,1610612759
2018,Briante Weber,25.0,MEM,18,8,10,0.444,236.50333333333333,19,43,4,11,8,10,8,27,35,22,18,5,15,50,0.527,0.2558139534883721,0.23255813953488372,0.03,0.13,0.074,0.139,,0.111,,,,,,,,1627362,1610612763
2018,Brice Johnson,24.0,MEM,18,2,16,0.111,97.96666666666667,20,42,0,1,3,5,9,22,31,2,9,6,5,43,0.486,0.023809523809523808,0.11904761904761904,0.08,0.227,0.148,0.03,,0.193,,,,,,,,1627744,1610612763
