season_end,Player,Age,Tm,GP,W,L,W_PCT,MP,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,PER,WS,OWS,DWS,WS/48,BPM,VORP
2015,Trevor Ariza,29.0,HOU,,,,,2930.0,,910.0,,,,143.0,,,,209.0,152.0,17.0,141.0,1048.0,0.539,0.61,0.157,0.0289999999999999,0.144,0.086,0.111,0.127,0.165,12.7,6.6,2.7,3.9,0.108,1.9,2.9
2015,Darrell Arthur,26.0,DEN,,,,,988.0,,384.0,,,,59.0,,,,57.0,48.0,26.0,47.0,382.0,0.466,0.286,0.154,0.0559999999999999,0.134,0.093,0.093,0.103,0.2,11.5,0.9,-0.1,0.9,0.042,-1.1,0.2
2015,Omer Asik,28.0,NOP,,,,,1982.0,,412.0,,,,225.0,,,,72.0,29.0,54.0,95.0,557.0,0.545,0.0,0.546,0.14,0.288,0.214,0.054,0.157,0.14,15.5,5.0,2.8,2.2,0.12,-0.7,0.6
2015,D.J. Augustin,27.0,DET,,,,,1287.0,,461.0,,,,169.0,,,,265.0,33.0,2.0,110.0,574.0,0.536,0.325,0.367,0.011,0.076,0.042,0.332,0.17,0.222,15.8,2.5,2.0,0.6,0.094,-2.4,-0.1
2015,D.J. Augustin,27.0,OKC,,,,,677.0,,186.0,,,,36.0,,,,88.0,16.0,1.0,35.0,203.0,0.503,0.516,0.194,0.011,0.084,0.048,0.185,0.148,0.151,10.2,0.9,0.5,0.4,0.063,-2.8,-0.1
2015,Jeff Ayres,27.0,SAS,,,,,383.0,,95.0,,,,36.0,,,,14.0,8.0,8.0,26.0,137.0,0.618,0.0,0.379,0.1119999999999999,0.233,0.173,0.055,0.19,0.163,14.4,1.2,0.6,0.6,0.147,-1.7,0.0
2015,Luke Babbitt,25.0,NOP,,,,,830.0,,192.0,,,,19.0,,,,24.0,17.0,11.0,26.0,256.0,0.639,0.599,0.099,0.016,0.135,0.076,0.043,0.115,0.124,11.1,1.6,1.1,0.5,0.092,-1.4,0.1
2015,Cameron Bairstow,24.0,CHI,,,,,64.0,,14.0,,,,5.0,,,,1.0,2.0,1.0,3.0,10.0,0.309,0.0,0.357,0.105,0.033,0.068,0.022,0.156,0.135,2.1,-0.1,-0.1,0.0,-0.048,-7.7,-0.1
2015,Leandro Barbosa,32.0,GSW,,,,,982.0,,386.0,,,,74.0,,,,99.0,41.0,8.0,44.0,467.0,0.558,0.29,0.192,0.026,0.072,0.05,0.149,0.095,0.205,15.3,2.8,1.6,1.2,0.137,-0.8,0.3
2015,J.J. Barea,30.0,DAL,,,,,1362.0,,536.0,,,,94.0,,,,263.0,33.0,1.0,70.0,580.0,0.502,0.312,0.175,0.018,0.09,0.054,0.295,0.108,0.212,15.1,2.7,2.1,0.6,0.096,-1.5,0.2
2015,Andrea Bargnani,29.0,NYK,,,,,785.0,,361.0,,,,107.0,,,,46.0,2.0,27.0,42.0,430.0,0.527,0.114,0.296,0.046,0.144,0.093,0.113,0.093,0.264,16.6,0.9,0.8,0.2,0.058,-3.7,-0.3
2015,Harrison Barnes,22.0,GSW,,,,,2318.0,,656.0,,,,150.0,,,,116.0,61.0,19.0,71.0,827.0,0.573,0.328,0.229,0.0559999999999999,0.151,0.105,0.069,0.09,0.149,13.4,6.7,3.7,3.0,0.139,1.1,1.8
